name,id,nametype,recclass,mass,fall,year,reclat,reclong
Acfer 292,300,Valid,H5,432,Found,1992,27.71861,4.48611
Shi��r 006,23544,Valid,L3.9,432,Found,2000,18.415,53.98833
Grove Mountains 051864,48241,Valid,L6,432,Found,2006,-72.979167,75.262778
Thiel Mountains 06005,46409,Valid,H4,432,Found,2007,-85.16033,-94.562
Dhofar 1557,52428,Valid,L6,432,Found,2009,18.4605,54.658
Allan Hills A80106,1934,Valid,H4,432.2,Found,1980,-76.69028,159.25444
LaPaz Icefield 02328,12595,Valid,LL5,432.2,Found,2002,-86.36667,-70
Lewis Cliff 86019,12959,Valid,L6,432.4,Found,1986,-84.27647,161.65025
Queen Alexandra Range 90221,19026,Valid,L5,432.7,Found,1990,-84.59651,162.39579
Acfer 160,169,Valid,LL3.8-6,433,Found,1990,27.46667,3.71667
Dar al Gani 324,5872,Valid,H6,433,Found,1997,28.1815,15.64783
Meteorite Hills 00476,15711,Valid,L5,433.3,Found,2000,-79.68333,155.75
Jiddat al Harasis 548,50942,Valid,L6,433.6,Found,2008,19.53102,55.18237
Yamato 75109,25150,Valid,L6,433.9,Found,1975,-71.5,35.66667
Yamato 790260,25609,Valid,Eucrite-pmict,433.9,Found,1979,-71.5,35.66667
Hammadah al Hamra 160,11643,Valid,H3-5,434,Found,1995,28.6115,13.55833
Dar al Gani 611,6158,Valid,L6,434,Found,1998,27.28383,16.17133
Dhofar 513,7274,Valid,H5,434,Found,2000,18.335,54.2
El M��dano 174,57322,Valid,L~6,434,Found,2011,-24.85,-70.53333
Queen Alexandra Range 97032,20439,Valid,L6,434.8,Found,1997,-84,168
Aguemour 006,405,Valid,L6,435,Found,1992,27.57639,4.52528
Elephant Moraine A79003,10004,Valid,L6,435.6,Found,1979,-76.29,157.23833
Elephant Moraine 96032,9626,Valid,L4,435.7,Found,1996,-76.18333,157.16667
Hammadah al Hamra 245,11728,Valid,L5-6,435.8,Found,1997,28.8545,12.20417
Gilzem,10916,Valid,H5,436,Found,1987,49.87361,6.50556
Dar al Gani 947,6487,Valid,LL6,436,Found,2000,27.44683,16.31933
Hammadah al Hamra 277,11760,Valid,LL6,436,Found,2000,28.45783,12.86433
Sayh al Uhaymir 051,23243,Valid,Martian (shergottite),436,Found,2000,20.974,57.32083
Dhofar 634,7391,Valid,L6,436,Found,2001,19.11107,54.61557
Queen Alexandra Range 90211,19016,Valid,L5,436.3,Found,1990,-84.58632,162.61342
Thiel Mountains 99018,23970,Valid,H4,436.9,Found,2000,-85.16513,-94.84618
Dar al Gani 237,5785,Valid,L6,437,Found,1997,27.09933,16.37983
Jiddat al Harasis 351,51619,Valid,H~5,437.3,Found,2003,19.36202,55.61702
Asuka 881037,3746,Valid,H5,437.54,Found,1988,-72,26
Allan Hills 85002,868,Valid,CK4,437.7,Found,1985,-76.91661,156.53194
Pecora Escarpment 91054,18345,Valid,L6,437.9,Found,1991,-85.6946,-68.64606
Deakin 010,55718,Valid,Eucrite-mmict,438,Found,1988,-30.573,128.56367
Acfer 263,271,Valid,L6,438,Found,1991,27.69111,4.3375
Dar al Gani 230,5778,Valid,CO3,438,Found,1997,27.15283,15.96267
Grove Mountains 052243,48287,Valid,L6,438,Found,2006,-72.783056,75.300278
Ramlat as Sahmah 269,50957,Valid,H6,438.2,Found,2008,20.57128,56.12693
Allan Hills 85023,889,Valid,H6,438.5,Found,1985,-76.83755,156.41507
Thackaringa,23907,Valid,H5,438.6,Found,1974,-32.11667,141.08333
Geologists Range 85701,10873,Valid,L6,438.6,Found,1985,-82.5,155.5
Jiddat al Harasis 493,50997,Valid,L6,438.7,Found,2007,19.7845,56.41668
Yamato 792521,27870,Valid,H4,438.85,Found,1979,-71.5,35.66667
Roosevelt County 044,22699,Valid,L6,439.1,Found,1970,34.25,-103.51667
Lewis Cliff 85327,12797,Valid,H5,439.4,Found,1985,-84.26611,161.31667
Al Huwaysah 017,55415,Valid,L6,439.58,Found,2010,22.73852,55.36247
Queen Alexandra Range 90202,19007,Valid,L5,440,Found,1990,-84.59633,162.32288
Hammadah al Hamra 209,11692,Valid,L6,440,Found,1997,28.65217,13.14117
Diamond Valley,7641,Valid,H5,440,Found,2001,40.08173,-115.93673
Grove Mountains 052115,48271,Valid,L6,440,Found,2006,-72.772222,75.336111
Lewis Cliff 87046,13520,Valid,L6,440.2,Found,1987,-84.36628,161.20142
Yamato 793515,28864,Valid,H5-6,440.73,Found,1979,-71.5,35.66667
Wisconsin Range 91622,24312,Valid,H5,440.9,Found,1991,-86.51327,-122.92858
Dhofar 759,7505,Valid,H4/5,441,Found,2000,18.73127,54.82003
Sayh al Uhaymir 080,23272,Valid,H6,441,Found,2000,21.05183,57.26967
San Juan 066,57305,Valid,L6,441,Found,2010,-25.58333,-69.78333
Meteorite Hills 01059,16292,Valid,L5,441.2,Found,2001,-79.68333,159.75
Dhofar 1445,51594,Valid,LL5,442,Found,2003,19.43697,54.70665
Jiddat al Harasis 115,34027,Valid,L~6,442,Found,2004,19.74212,55.71987
Asuka 881757,4466,Valid,Lunar (gabbro),442.12,Found,1988,-72.83333,24.5
Pecora Escarpment 91047,18338,Valid,L6,442.2,Found,1991,-85.63333,-68.7
