name,id,nametype,recclass,mass,fall,year,reclat,reclong
Elephant Moraine 83227,7869,Valid,Eucrite-pmict,1973,Found,1983,-76.3,157.27306
Dhofar 162,6947,Valid,L6,1967,Found,2000,19.12944,54.36861
Clarendon (a),5369,Valid,H5,1964,Found,1979,34.905,-100.91333
Ramlat as Sahmah 287,51888,Valid,Diogenite,1962,Found,2009,20.47678,55.52788
Jiddat al Harasis 020,12108,Valid,L6,1961,Found,2000,19.83139,56.08592
Thurman,23980,Valid,OC,1959,Found,1965,39.52167,-103.16667
Dhofar 1449,51710,Valid,L/LL~6,1959,Found,2002,19.23,54.88
Lonewolf Nunataks 94100,14684,Valid,EL6,1947.1,Found,1994,-81.33333,152.83333
Sayh al Uhaymir 221,23394,Valid,L5,1945.35,Found,2002,20.48933,57.40063
Ramlat al Wahibah 007,45878,Valid,H5,1940.66,Found,2006,21.1746,58.40918
Hammadah al Hamra 144,11627,Valid,L5,1940,Found,1995,28.51383,13.00717
Dhofar 1521,52394,Valid,L6,1940,Found,2008,18.40167,54.54717
Acfer 053,63,Valid,H6,1937,Found,1989,27.73333,4.05
Queen Alexandra Range 99023,21475,Valid,H5,1933,Found,1999,-84,168
Dar al Gani 005,5521,Valid,CO3,1932,Found,1995,27.1565,15.9525
Dhofar 279,7062,Valid,L6,1932,Found,2001,18.265,54.33833
Allan Hills 84001,604,Valid,Martian (OPX),1930.9,Found,1984,-76.92031,156.77355
Dhofar 277,7060,Valid,L6,1930,Found,2001,18.34833,54.33667
Jiddat al Harasis 580,51925,Valid,H5,1929,Found,2009,19.42017,56.70155
Hickiwan,11881,Valid,H5,1928,Found,1974,32.35833,-112.40889
Odessa (stone),17986,Valid,H4,1926,Found,1960,46.5,30.76667
Dar al Gani 008,5524,Valid,L6,1925,Found,1995,27.15833,16.11467
Hammadah al Hamra 227,11710,Valid,H4-5,1920,Found,1997,28.66,12.64833
Jiddat al Harasis 254,35571,Valid,H5,1918,Found,2005,19.99147,56.3452
Adrar 001,381,Valid,H4/5,1917,Found,1990,28.05,0.16667
Dar al Gani 463,6011,Valid,L6,1916,Found,1998,27.01167,15.86483
Acapulco,10,Valid,Acapulcoite,1914,Fell,1976,16.88333,-99.9
Hammadah al Hamra 090,11573,Valid,L6,1914,Found,1995,28.4875,13.22417
Sayh al Uhaymir 172,31321,Valid,H6,1913,Found,2002,20.99333,57.28
Dhofar 267,7050,Valid,H5,1910,Found,2000,18.32667,54.21833
Asuka 880715,3424,Valid,H5,1909.25,Found,1988,-72,26
Estaci’_n Imilac,54717,Valid,H5,1908,Found,2004,-24.22983,-68.89253
Yamato 791539,26888,Valid,LL,1907,Found,1979,-71.5,35.66667
Yamato 82050,29244,Valid,CO3.2,1906.61,Found,1982,-71.5,35.66667
Dhofar 1251,33943,Valid,LL6,1905,Found,2005,18.56925,54.195389
Guangrao,11437,Valid,L6,1900,Fell,1980,37.1,118.4
Richland Springs,22602,Valid,OC,1900,Fell,1980,31.25,-99.03333
Jiddat al Harasis 698,56250,Valid,H4-5,1900,Found,2011,19.12782,55.55643
Jiddat al Harasis 313,35630,Valid,L6,1899.7,Found,2005,19.7216,55.70785
Sayh al Uhaymir 073,23265,Valid,H5,1899.1,Found,2001,20.6515,57.169
Asuka 881539,4248,Valid,H3.8,1896.48,Found,1988,-72,26
Blaine Lake,5070,Valid,L6,1896.4,Found,1974,52.77,-106.89667
Dar al Gani 453,6001,Valid,L6,1896,Found,1998,27.804,15.935
Sulphur Springs Draw,23740,Valid,H5,1892,Found,1990,32.98333,-102.37833
Dar al Gani 248,5796,Valid,H6,1890,Found,1997,27.20667,16.2045
Allan Hills 84064,666,Valid,H5,1889.1,Found,1984,-76.91491,156.9387
Dhofar 1272,33964,Valid,LL4,1883,Found,2005,18.682806,54.285778
Allan Hills A77288,1598,Valid,H6,1880,Found,1977,-76.71667,159.66667
Hammadah al Hamra 205,11688,Valid,H5,1880,Found,1997,28.56517,13.27633
Sayh al Uhaymir 163,23350,Valid,H5,1877.3,Found,2001,21.03703,57.32685
Kaffir (a),12223,Valid,L5,1874.9,Found,1965,34.62333,-101.91667
ShiÅ™r 163,48650,Valid,H4,1872.3,Found,2002,18.55712,53.91382
Orimattila,18028,Valid,H4,1872,Found,1974,60.58333,25.58333
Dar al Gani 608,6155,Valid,L6,1870,Found,1998,26.97033,16.36083
Sayh al Uhaymir 033,23225,Valid,H6,1868,Found,2000,20.99667,57.29117
Al Huqf 055,45825,Valid,H4,1865.6,Found,2001,19.64073,57.28857
Thiel Mountains 07001,51010,Valid,H6,1865,Found,2007,-85.2335,-90.43733
Al Huqf 006,439,Valid,L6,1861.21,Found,2002,19.84067,57.00842
Fenbark,10085,Valid,H5,1861,Found,1968,-30.44028,121.25694
Dar al Gani 402,5950,Valid,L6,1861,Found,1998,27.814,15.9115
Dhofar 780,7526,Valid,H5/6,1856,Found,2000,19.72137,54.67897
Dhofar 1497,51566,Valid,L3-5,1856,Found,2008,18.73168,54.39702
Jiddat al Harasis 096,12155,Valid,L6,1853.5,Found,2002,19.46028,56.82793
Allan Hills A81030,1990,Valid,L3.4,1851.6,Found,1981,-76.70139,159.38861
Sayh al Uhaymir 009,23201,Valid,H5,1848,Found,1999,20.9915,57.307
Yamato 791905,27254,Valid,H5,1847,Found,1979,-71.5,35.66667
Umm as Samim 001,24115,Valid,H5,1847,Found,2001,21.31833,56.41667
Yamato 791312,26661,Valid,H4/5,1841,Found,1979,-71.5,35.66667
Dhofar 142,6927,Valid,L4,1835,Found,2000,18.38233,54.23617
Yamato 790739,26088,Valid,LL6,1831.3,Found,1979,-71.5,35.66667
Ozernoe,18065,Valid,L6,1830,Found,1983,54.9,62.8
Hammadah al Hamra 071,11554,Valid,L6,1828,Found,1994,29.2125,12.52183
Burkhala,5171,Valid,"Iron, IAB-ung",1825,Found,1983,63.8,149
Elephant Moraine 82602,7827,Valid,H4,1824.1,Found,1982,-76.29139,157.20833
Majuba 007,54684,Valid,H4,1823.3,Found,2007,40.61667,-118.38472
Grove Mountains 051862,46957,Valid,L6,1823,Found,2006,-72.775,75.33611
El M’©dano 171,57319,Valid,H~5,1821,Found,2011,-24.85,-70.53333
Yamato 74193,24571,Valid,H5,1818.5,Found,1974,-71.64306,35.59444
Dhofar 200,6984,Valid,H4,1816,Found,2000,19.30333,54.59833
Dar al Gani 1058,54650,Valid,Lunar (feldsp. breccia),1815,Found,1998,27.375,16.184
Dhofar 139,6924,Valid,L6,1815,Found,2000,18.33767,54.45217
Queen Alexandra Range 99009,21461,Valid,H5,1814.3,Found,1999,-84,168
Lewis Cliff 86013,12953,Valid,L6,1812.2,Found,1986,-84.27678,161.64698
Dhofar 1181,33884,Valid,H5,1812,Found,2005,18.745694,54.267167
Elephant Moraine 87502,8053,Valid,L6,1810.1,Found,1987,-76.28503,156.49716
Changde,5322,Valid,H5,1810,Fell,1977,29.08333,111.75
Dar al Gani 050,5566,Valid,L5,1808,Found,1995,27.3055,16.20917
Dar al Gani 766,6313,Valid,H4,1806,Found,1999,26.9705,16.53717
Dhofar 594,7351,Valid,H3-6,1806,Found,2001,18.7247,54.39503
Acfer 068,77,Valid,L6,1805,Found,1990,27.55,3.7
Chuckwalla,5361,Valid,"Iron, IAB-MG",1802,Found,1992,35.25,-118.09067
Jiddat al Harasis 118,34030,Valid,LL~6,1802,Found,2005,19.79717,56.7195
Paposo 005,57200,Valid,H5,1802,Found,2011,-25,-70.46667
Mosquero,16757,Valid,H4,1800,Found,1963,35.75,-103.93333
Boaz (stone),5091,Valid,H5,1800,Found,1968,33.65167,-103.70833
Lider (b),14649,Valid,H5,1800,Found,1972,34.655,-101.64
Mut,30757,Valid,H5,1800,Found,2003,25.59983,28.45217
Jiddat al Harasis 276,35593,Valid,H4/6,1798.9,Found,2005,19.97933,55.95507
Yamato 75271,25312,Valid,L5,1797.5,Found,1975,-71.5,35.66667
Derrick Peak 88025,6676,Valid,"Iron, IIAB",1797,Found,1988,-80.06667,156.38333
Sayh al Uhaymir 290,32488,Valid,CH3,1796,Found,2004,21.07544,57.14703
